Species	flagellar_proteins	No_of_proteins
Novosphingopyxis sp. pb63 	flgA,flgC,flgD,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	39
Obesumbacterium proteus strain DSM 2777 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgP,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	49
Oblitimonas alkaliphila strain B4199 	fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Oceanicoccus sagamiensis strain NBRC 107125 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	44
Oceanicola sp. D3 	flgA,flgB,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	35
Oceanicola sp. strain m2 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgO,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	37
Oceanihabitans sp. IOP_32 	flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Oceanimonas sp. GK1 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Oceanisphaera profunda strain SM1222 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Oceanisphaera sp. AMac2203 strain AMac2203 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Oceanispirochaeta sp. K2 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	38
Oceanithermus profundus DSM 14977 	fliH,fliI,fliY,flrA,flrC,motA,motX,rpoD	8
Oceanobacillus iheyensis HTE831 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Oceanobacillus iheyensis strain CHQ24 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Oceanobacillus sp. 143 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	36
Oceanobacillus sp. 160 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Oceanospirillaceae bacterium ASO5 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Oceanospirillaceae bacterium xL5 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	45
Oceanospirillales bacterium S2-4-1H 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Oceanotoga sp. sy52 	flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgK,flgL,flgN,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Ochrobactrum anthropi ATCC 49188 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	39
Ochrobactrum intermedium strain ZJ499 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motX,motY,rpoD,rpoN	37
Ochrobactrum pituitosum strain AA2 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	39
Ochrobactrum sp. A44 	flgA,flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	37
Ochrobactrum sp. EEELCW01 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	39
Ochrobactrum sp. MT180101 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	39
Ochrobactrum sp. WY7 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	39
Odoribacter splanchnicus DSM 20712 FDAARGOS_1579 	flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Odoribacter splanchnicus strain NCTC10825 	flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Oenococcus oeni ATCC BAA-1163 	flgJ,fliA,fliI,fliY,flrA,flrC,motX,rpoD	8
Oenococcus oeni PSU-1 	flgJ,fliI,fliY,flrA,flrC,motX,rpoD	7
Oenococcus sicerae strain UCMA 15228 strain UCMA15228 	flgJ,fliI,fliY,flrA,flrC,rpoD	6
Oenococcus sp. UCMA 16435 	flgJ,fliA,fliI,fliY,flrA,flrC,motX,rpoD	8
Oleiharenicola sp. KSB-15 	flgT,fliA,fliI,fliM,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Oleiphilus messinensis strain ME102 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Oleispira antarctica RB-8 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Oligella ureolytica strain FDAARGOS_872 strain Not applicable 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	44
Oligella urethralis strain FDAARGOS_329 	fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	10
Oligoflexus tunisiensis strain Shr3 	flgA,flgB,flgC,flgD,flgE,flgG,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	40
Oligotropha carboxidovorans OM4 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgT,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	40
Oligotropha carboxidovorans OM5 	flgA,flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgO,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	39
Olivibacter sp. LS-1 	flgJ,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Olivibacter sp. SDN3 	flgD,flgJ,flgO,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Olleya aquimaris strain DAU311 	flgD,flgJ,fliA,fliH,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Olleya sp. Bg11-27 	flgD,flgJ,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Olleya sp. HaHaR_3_96 	flgD,flgJ,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Olsenella sp. GAM18 	flgA,fliA,fliG,fliH,fliI,fliY,flrA,flrC,rpoD	9
Olsenella sp. LZLJ-2 	flhC,fliG,fliH,fliI,fliY,flrA,flrC,rpoD	8
Olsenella sp. Marseille-P2300 	fliA,fliG,fliI,fliY,flrA,flrC,rpoD	7
Olsenella sp. Marseille-P3237 	flgA,flgJ,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motX,rpoD	11
Olsenella sp. oral taxon 807 strain F0089 	flgA,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Olsenella uli DSM 7084 	flhC,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Olsenella umbonata strain DSM 22620 	flgA,flgJ,flhC,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motX,rpoD	12
Onion yellows phytoplasma OY-M 	fliI,fliY,flrA,flrC,rpoD	5
Opitutaceae bacterium IG16b 	flgA,flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flgO,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	41
Opitutae bacterium TARA_B100001123 	flgJ,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Opitutus sp. GAS368 	flgD,flgO,flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Opitutus terrae PB90-1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	40
Orbus sp. IPMB12 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Oricola sp. MEBiC13590 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgT,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motC,motD,motX,motY,rpoD,rpoN	40
Orientia tsutsugamushi strain Karp 	fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Orientia tsutsugamushi str. Boryong 	fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Orientia tsutsugamushi str. Gilliam 	fliH,fliI,fliY,flrA,flrC,motA,motY,rpoD	8
Orientia tsutsugamushi str. Ikeda 	fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Orientia tsutsugamushi str. Karp 	fliH,fliI,fliY,flrA,flrC,motA,motY,rpoD	8
Ornithinimicrobium flavum strain CPCC 203535 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Ornithinimicrobium sp. AMA3305 	flgA,fliA,fliG,fliH,fliI,fliY,flrA,flrC,motB,motY,rpoD	11
Ornithinimicrobium sp. H23M54 	flgA,fliA,fliG,fliH,fliI,fliY,flrA,flrC,rpoD	9
Ornithobacterium rhinotracheale 97 	flgJ,fliA,fliH,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Ornithobacterium rhinotracheale DSM 15997 	flgJ,flgT,fliA,fliH,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Ornithobacterium rhinotracheale ORT-UMN 88 	flgJ,fliA,fliH,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Orrella dioscoreae strain Orrdi1 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Oryzomicrobium terrae strain TPP412 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Oscillatoria acuminata PCC 6304 	fliA,fliG,fliH,fliI,fliM,fliN,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	14
Oscillatoriales cyanobacterium JSC-12 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Oscillatoria nigro-viridis PCC 7112 	flgT,fliA,fliH,fliI,fliN,fliY,flrA,flrC,motA,motX,motY,rpoD	12
Oscillibacter sp. MM35 	flhC,fliA,fliI,fliY,flrA,flrC,motX,rpoD	8
Oscillibacter sp. MM50 	flhC,fliA,fliI,fliY,flrA,flrC,motX,rpoD,rpoN	9
Oscillibacter sp. MM59 	flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgN,flhA,flhB,flhC,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	36
Oscillibacter sp. NSJ-62 	flhC,fliA,fliI,fliY,flrA,flrC,motX,rpoD,rpoN	9
Oscillibacter sp. PEA192 	fliA,fliG,fliI,fliY,flrA,flrC,motB,motX,rpoD,rpoN	10
Oscillibacter valericigenes Sjm18-20 	flgA,flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgM,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	36
Oscillospiraceae bacterium CE91-St40 	flgA,flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	36
Oscillospiraceae bacterium J115 	flgA,fliA,fliG,fliI,fliY,flrA,flrC,motX,rpoD,rpoN	10
Oscillospiraceae bacterium LBM18003 	flgA,flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgM,flgN,flhA,flhB,flhC,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	37
Otariodibacter oris strain Baika1 	fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Ottowia sp. 27C 	flgD,flgT,flhA,flhB,flhC,fliA,fliF,fliH,fliI,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	22
Ottowia sp. KADR8-3 	flgT,flhA,flhB,fliA,fliF,fliH,fliI,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	20
Ottowia sp. oral taxon 894 strain W10237 	flhA,flhB,fliA,fliF,fliH,fliI,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	17
Owenweeksia hongkongensis DSM 17368 	flgD,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Oxalobacter formigenes OXCC13 strain OXCC13 	fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Oxalobacter formigenes strain HC-1 	fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Oxynema sp. AP17 	flgD,fliA,fliH,fliI,fliM,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	13
Paenalcaligenes hominis strain 15S00501 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Paenarthrobacter nicotinovorans ATCC 49919 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Paenarthrobacter sp. YJN-5 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,rpoD	33
Paenarthrobacter sp. YJN-D 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Paenarthrobacter ureafaciens AT 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,rpoD	33
Paenibacillaceae bacterium GAS479 	flgA,flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Paenibacillus agaridevorans strain HCL2020 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,rpoD	39
Paenibacillus alvei strain Paenibacillus B-LR1 	flgB,flgC,flgD,flgE,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD	36
Paenibacillus antarcticus strain KACC 11469 	flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	37
Paenibacillus azoreducens J34TS1 	flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Paenibacillus baekrokdamisoli strain KCTC 33723 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,rpoD,rpoN	40
Paenibacillus barcinonensis strain KACC11450 	flgB,flgC,flgD,flgE,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	37
Paenibacillus beijingensis strain DSM 24997 	flgA,flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Paenibacillus borealis DSM 13188 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	38
Paenibacillus brasilensis strain KACC 13842 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Paenibacillus cellulosilyticus strain KACC 14175 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	40
Paenibacillus cellulositrophicus strain KACC 16577 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,rpoD	40
Paenibacillus chitinolyticus strain KCCM 41400 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motD,motX,rpoD	37
Paenibacillus dendritiformis J27TS7 	flgB,flgC,flgD,flgE,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,rpoD	35
Paenibacillus donghaensis strain KCTC 13049 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	37
